,T2-15,W2,Kc,T_max,T_min,RH_min,RH_max,Rn,U2,P,Ri_f
483,52.0,0,0.55,31.5,22.3,61.0,92.0,0.9632875,115.375,99.9025,5.5
484,22.0,0,0.55,30.4,22.3,62.0,93.0,0.661239583,114.08333329999999,99.96333333,13.5
485,34.0,0,0.55,29.7,23.2,63.0,93.0,0.834110417,175.66666669999998,99.96833333,0.0
487,40.0,0,0.55,32.4,22.9,52.0,92.0,1.248960417,110.54166670000001,99.97875,0.0
488,34.0,0,0.55,31.8,25.3,61.0,87.0,0.74499375,105.16666670000001,99.91958333,6.0
491,60.0,0,0.55,32.2,25.4,59.0,83.0,1.06984875,105.125,99.81291667,0.0
492,58.0,0,0.55,33.0,24.4,54.0,86.0,1.1837233329999999,100.125,99.86541667,0.0
493,64.0,0,0.55,31.6,24.6,61.0,90.0,1.060465417,93.5,99.91916667,1.0
494,12.0,0,0.55,30.1,22.7,69.0,93.0,1.012589167,124.375,99.93958333,9.1
496,24.0,0,0.55,31.0,24.2,67.0,92.0,0.9024483329999999,97.08333333,99.99291667,13.0
497,62.0,0,0.55,31.3,23.7,66.0,94.0,0.869482917,92.95833333,99.95125,21.8
498,12.0,0,0.55,32.1,25.1,62.0,90.0,1.273011667,106.375,99.99208333,2.3
499,15.0,0,0.55,32.0,25.6,63.0,87.0,1.058400417,107.66666670000001,99.97375,0.0
500,21.0,0,0.55,33.0,24.6,55.0,86.0,1.328065,106.33333329999999,99.94875,0.0
502,38.0,0,0.55,32.8,24.6,47.0,85.0,1.320417917,103.25,99.8825,0.0
503,39.0,0,0.55,33.3,25.4,51.0,82.0,1.375105833,108.83333329999999,99.91,0.0
504,40.0,0,0.55,30.1,24.6,65.0,92.0,0.97699625,108.54166670000001,99.90458333,0.0
505,40.0,0,0.55,31.9,25.5,56.0,84.0,1.503950417,106.04166670000001,99.84,2.5
506,42.0,0,0.55,32.1,23.8,56.0,89.0,1.122365417,109.33333329999999,99.77916667,0.0
507,50.0,0,0.55,29.8,23.9,66.0,92.0,0.5649975,131.5,99.94958333,25.5
508,0.0,0,0.55,31.0,23.3,66.0,94.0,0.807963333,171.125,99.98541667,44.2
509,15.0,0,0.55,28.5,23.9,73.0,90.0,0.6154824999999999,108.79166670000001,99.84291667,0.0
510,6.0,0,0.55,31.6,23.6,62.0,94.0,0.927740833,126.83333329999999,99.79333333,5.3
511,18.0,0,0.55,31.6,23.0,71.0,95.0,1.173244583,162.25,99.69416667,0.0
512,12.0,0,0.55,30.9,23.6,69.0,96.0,0.485047083,105.875,99.71291667,28.0
513,10.0,0,0.55,30.6,22.9,75.0,99.0,0.74908125,161.5,99.75083333,0.0
514,18.0,0,0.55,31.1,23.6,76.0,100.0,1.084031667,148.0,99.82208333,8.4
515,12.0,0,0.55,32.3,22.7,64.0,93.0,0.907262083,110.16666670000001,99.96083333,0.0
516,20.0,0,0.55,31.5,22.8,59.0,94.0,0.784708333,132.0833333,99.975,1.5
517,38.0,0,0.55,30.1,22.1,75.0,100.0,0.95009125,182.5,99.9975,0.0
526,12.0,0,0.55,31.4,25.2,54.0,82.0,1.0503658329999999,120.5,99.97791667,6.6
530,6.0,0,0.55,31.8,25.2,50.0,83.0,0.9704225000000001,117.66666670000001,99.98916667,14.0
552,78.0,0,0.55,34.7,25.3,34.0,80.0,1.053964583,118.375,99.94416667,0.0
553,78.0,0,0.55,34.6,25.0,37.0,80.0,1.204903333,112.45833329999999,99.98875,0.0
596,72.0,0,0.55,35.9,24.1,28.0,76.0,1.032152083,111.04166670000001,99.93541667,0.0
599,82.0,0,0.55,37.7,24.4,26.0,74.0,1.03146,111.875,99.98791667,0.0
603,92.0,0,0.55,36.5,24.3,27.0,74.0,1.047399167,110.79166670000001,99.94166667,0.0
